word,verse,lemma,strongs,morph,morphology,Part of Speech,Tense,Voice,Mood,Person,Number,Case,Gender,xlit,betacode
ὑπὲρ,9,strong:G5228,G5228,packard:P,P,Preposition,,,,,,,,betacode:U(PE\R,U(PE\R
ἡμᾶς,9,strong:G2248,G2248,packard:RP-AP,RP-AP,Personal/Possessive Pronoun,,,,,Plural,Accusative,,betacode:H(MA=S,H(MA=S
δεῦτε,10,strong:G1205,G1205,packard:D,D,Adverb,,,,,,,,betacode:DEU=TE,DEU=TE
οὖν,10,strong:G3767,G3767,packard:X,X,Particle,,,,,,,,betacode:OU)=N,OU)=N
κατασοφισώμεθα,10,,,packard:VA-AAS1P,VA-AAS1P,Verb,Aorist,Active,Subjunctive,1,Plural,,,betacode:KATASOFISW/MEQA,KATASOFISW/MEQA
αὐτούς,10,strong:G846,G846,packard:RD-APM,RD-APM,Demonstrative Pronoun,,,,,Plural,Accusative,Masculine,betacode:AU)TOU/S,AU)TOU/S
μήποτε,10,strong:G3379,G3379,packard:D,D,Adverb,,,,,,,,betacode:MH/POTE,MH/POTE
πληθυνθῇ,10,strong:G4129,G4129,packard:VC-APS3S,VC-APS3S,Verb,Aorist,Passive,Subjunctive,3,Singular,,,betacode:PLHQUNQH=|,PLHQUNQH=|
καί,10,strong:G2532,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI/,KAI/
ἡνίκα,10,strong:G2259,G2259,packard:D,D,Adverb,,,,,,,,betacode:H(NI/KA,H(NI/KA
ἂν,10,strong:G302,G302,packard:X,X,Particle,,,,,,,,betacode:A)\N,A)\N
συμβῇ,10,,,packard:VZ-AAS3S,VZ-AAS3S,Verb,Aorist,Active,Subjunctive,3,Singular,,,betacode:SUMBH=|,SUMBH=|
ἡμῖν,10,strong:G1473,G1473,packard:RP-DP,RP-DP,Personal/Possessive Pronoun,,,,,Plural,Dative,,betacode:H(MI=N,H(MI=N
πόλεμος,10,strong:G4171,G4171,packard:N2-NSM,N2-NSM,Noun,,,,,Singular,Nominative,Masculine,betacode:PO/LEMOS,PO/LEMOS
προστεθήσονται,10,,,packard:VC-FPI3P,VC-FPI3P,Verb,Future,Passive,Indicative,3,Plural,,,betacode:PROSTEQH/SONTAI,PROSTEQH/SONTAI
καὶ,10,strong:G2532,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\
οὗτοι,10,strong:G3778,G3778,packard:RD-NPM,RD-NPM,Demonstrative Pronoun,,,,,Plural,Nominative,Masculine,betacode:OU(=TOI,OU(=TOI
πρὸς,10,strong:G4314,G4314,packard:P,P,Preposition,,,,,,,,betacode:PRO\S,PRO\S
τοὺς,10,strong:G3588,G3588,packard:RA-APM,RA-APM,Article,,,,,Plural,Accusative,Masculine,betacode:TOU\S,TOU\S
ὑπεναντίους,10,strong:G5227,G5227,packard:A1A-APM,A1A-APM,Adjective,,,,,Plural,Accusative,Masculine,betacode:U(PENANTI/OUS,U(PENANTI/OUS
καὶ,10,strong:G2532,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\
ἐκπολεμήσαντες,10,,,packard:VA-AAPNPM,VA-AAPNPM,Verb,Aorist,Active,Participle,,Plural,Nominative,Masculine,betacode:E)KPOLEMH/SANTES,E)KPOLEMH/SANTES
ἡμᾶς,10,strong:G1473,G1473,packard:RP-AP,RP-AP,Personal/Possessive Pronoun,,,,,Plural,Accusative,,betacode:H(MA=S,H(MA=S
ἐξελεύσονται,10,,,packard:VF-FMI3P,VF-FMI3P,Verb,Future,Middle,Indicative,3,Plural,,,betacode:E)CELEU/SONTAI,E)CELEU/SONTAI
ἐκ,10,strong:G1537,G1537,packard:P,P,Preposition,,,,,,,,betacode:E)K,E)K
τῆς,10,strong:G3588,G3588,packard:RA-GSF,RA-GSF,Article,,,,,Singular,Genitive,Feminine,betacode:TH=S,TH=S
γῆς,10,strong:G1093,G1093,packard:N1-GSF,N1-GSF,Noun,,,,,Singular,Genitive,Feminine,betacode:GH=S,GH=S
καὶ,11,strong:G2532,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\
ἐπέστησεν,11,strong:G1987,G1987,packard:VHI-AAI3S,VHI-AAI3S,Verb,Aorist,Active,Indicative,3,Singular,,,betacode:E)PE/STHSEN,E)PE/STHSEN
αὐτοῖς,11,strong:G846,G846,packard:RD-DPM,RD-DPM,Demonstrative Pronoun,,,,,Plural,Dative,Masculine,betacode:AU)TOI=S,AU)TOI=S
ἐπιστάτας,11,strong:G1988,G1988,packard:N1M-APM,N1M-APM,Noun,,,,,Plural,Accusative,Masculine,betacode:E)PISTA/TAS,E)PISTA/TAS
τῶν,11,strong:G3588,G3588,packard:RA-GPN,RA-GPN,Article,,,,,Plural,Genitive,Neuter,betacode:TW=N,TW=N
ἔργων,11,strong:G2041,G2041,packard:N2N-GPN,N2N-GPN,Noun,,,,,Plural,Genitive,Neuter,betacode:E)/RGWN,E)/RGWN
ἵνα,11,strong:G2443,G2443,packard:C,C,Conjunction,,,,,,,,betacode:I(/NA,I(/NA
κακώσωσιν,11,strong:G2559,G2559,packard:VA-AAS3P,VA-AAS3P,Verb,Aorist,Active,Subjunctive,3,Plural,,,betacode:KAKW/SWSIN,KAKW/SWSIN
αὐτοὺς,11,strong:G846,G846,packard:RD-APM,RD-APM,Demonstrative Pronoun,,,,,Plural,Accusative,Masculine,betacode:AU)TOU\S,AU)TOU\S
ἐν,11,strong:G1722,G1722,packard:P,P,Preposition,,,,,,,,betacode:E)N,E)N
τοῖς,11,strong:G3588,G3588,packard:RA-DPN,RA-DPN,Article,,,,,Plural,Dative,Neuter,betacode:TOI=S,TOI=S
ἔργοις,11,strong:G2041,G2041,packard:N2N-DPN,N2N-DPN,Noun,,,,,Plural,Dative,Neuter,betacode:E)/RGOIS,E)/RGOIS
καὶ,11,strong:G2532,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\
ᾠκοδόμησαν,11,strong:G3618,G3618,packard:VAI-AAI3P,VAI-AAI3P,Verb,Aorist,Active,Indicative,3,Plural,,,betacode:W)|KODO/MHSAN,W)|KODO/MHSAN
πόλεις,11,strong:G4172,G4172,packard:N3I-APF,N3I-APF,Noun,,,,,Plural,Accusative,Feminine,betacode:PO/LEIS,PO/LEIS
ὀχυρὰς,11,,,packard:A1A-APF,A1A-APF,Adjective,,,,,Plural,Accusative,Feminine,betacode:O)XURA\S,O)XURA\S
τῷ,11,strong:G3588,G3588,packard:RA-DSM,RA-DSM,Article,,,,,Singular,Dative,Masculine,betacode:TW=|,TW=|
Φαραω,11,strong:G5328,G5328,packard:N-DSM,N-DSM,Noun,,,,,Singular,Dative,Masculine,betacode:*FARAW,*FARAW
τήν,11,strong:G3588,G3588,packard:RA-ASF,RA-ASF,Article,,,,,Singular,Accusative,Feminine,betacode:TH/N,TH/N
τε,11,,,packard:X,X,Particle,,,,,,,,betacode:TE,TE
Πιθωμ,11,,,packard:N-ASF,N-ASF,Noun,,,,,Singular,Accusative,Feminine,betacode:*PIQWM,*PIQWM
καὶ,11,strong:G2532,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\
Ραμεσση,11,,,packard:N-ASF,N-ASF,Noun,,,,,Singular,Accusative,Feminine,betacode:*RAMESSH,*RAMESSH
καὶ,11,strong:G2532,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\
Ων,11,,,packard:N-ASM,N-ASM,Noun,,,,,Singular,Accusative,Masculine,betacode:*WN,*WN
ἥ,11,strong:G3739,G3739,packard:RR-NSF,RR-NSF,Relative Pronoun,,,,,Singular,Nominative,Feminine,betacode:H(/,H(/
ἐστιν,11,strong:G1510,G1510,packard:V9-PAI3S,V9-PAI3S,Verb,Present,Active,Indicative,3,Singular,,,betacode:E)STIN,E)STIN
Ἡλίου,11,strong:G2246,G2246,packard:N2-GSM,N2-GSM,Noun,,,,,Singular,Genitive,Masculine,betacode:*H(LI/OU,*H(LI/OU
πόλις,11,strong:G4172,G4172,packard:N3I-NSF,N3I-NSF,Noun,,,,,Singular,Nominative,Feminine,betacode:PO/LIS,PO/LIS
καθότι,12,strong:G2530,G2530,packard:D,D,Adverb,,,,,,,,betacode:KAQO/TI,KAQO/TI
δὲ,12,strong:G1161,G1161,packard:X,X,Particle,,,,,,,,betacode:DE\,DE\
αὐτοὺς,12,strong:G846,G846,packard:RD-APM,RD-APM,Demonstrative Pronoun,,,,,Plural,Accusative,Masculine,betacode:AU)TOU\S,AU)TOU\S
ἐταπείνουν,12,strong:G5013,G5013,packard:V4I-IAI3P,V4I-IAI3P,Verb,Imperfect,Active,Indicative,3,Plural,,,betacode:E)TAPEI/NOUN,E)TAPEI/NOUN
τοσούτῳ,12,strong:G5118,G5118,packard:A1-DSM,A1-DSM,Adjective,,,,,Singular,Dative,Masculine,betacode:TOSOU/TW|,TOSOU/TW|
πλείους,12,strong:G4119,G4119,packard:A3C-NPMC,A3C-NPMC,Adjective,,,,,Plural,Nominative,Masculine,betacode:PLEI/OUS,PLEI/OUS
ἐγίνοντο,12,strong:G1096,G1096,packard:V1I-IMI3P,V1I-IMI3P,Verb,Imperfect,Middle,Indicative,3,Plural,,,betacode:E)GI/NONTO,E)GI/NONTO
καὶ,12,strong:G2532,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\
ἴσχυον,12,strong:G2480,G2480,packard:V1-IAI3P,V1-IAI3P,Verb,Imperfect,Active,Indicative,3,Plural,,,betacode:I)/SXUON,I)/SXUON
σφόδρα,12,strong:G4970,G4970,packard:D,D,Adverb,,,,,,,,betacode:SFO/DRA,SFO/DRA
σφόδρα,12,strong:G4970,G4970,packard:D,D,Adverb,,,,,,,,betacode:SFO/DRA,SFO/DRA
καὶ,12,strong:G2532,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\
ἐβδελύσσοντο,12,strong:G948,G948,packard:V1I-IMI3P,V1I-IMI3P,Verb,Imperfect,Middle,Indicative,3,Plural,,,betacode:E)BDELU/SSONTO,E)BDELU/SSONTO
οἱ,12,strong:G3588,G3588,packard:RA-NPM,RA-NPM,Article,,,,,Plural,Nominative,Masculine,betacode:OI(,OI(
Αἰγύπτιοι,12,strong:G124,G124,packard:N2-NPM,N2-NPM,Noun,,,,,Plural,Nominative,Masculine,betacode:*AI)GU/PTIOI,*AI)GU/PTIOI
ἀπὸ,12,strong:G575,G575,packard:P,P,Preposition,,,,,,,,betacode:A)PO\,A)PO\
τῶν,12,strong:G3588,G3588,packard:RA-GPM,RA-GPM,Article,,,,,Plural,Genitive,Masculine,betacode:TW=N,TW=N
υἱῶν,12,strong:G5207,G5207,packard:N2-GPM,N2-GPM,Noun,,,,,Plural,Genitive,Masculine,betacode:UI(W=N,UI(W=N
Ισραηλ,12,strong:G2474,G2474,packard:N-GSM,N-GSM,Noun,,,,,Singular,Genitive,Masculine,betacode:*ISRAHL,*ISRAHL
καὶ,13,strong:G2532,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\
κατεδυνάστευον,13,strong:G2616,G2616,packard:V1I-IAI3P,V1I-IAI3P,Verb,Imperfect,Active,Indicative,3,Plural,,,betacode:KATEDUNA/STEUON,KATEDUNA/STEUON
οἱ,13,strong:G3588,G3588,packard:RA-NPM,RA-NPM,Article,,,,,Plural,Nominative,Masculine,betacode:OI(,OI(
Αἰγύπτιοι,13,strong:G124,G124,packard:N2-NPM,N2-NPM,Noun,,,,,Plural,Nominative,Masculine,betacode:*AI)GU/PTIOI,*AI)GU/PTIOI
τοὺς,13,strong:G3588,G3588,packard:RA-APM,RA-APM,Article,,,,,Plural,Accusative,Masculine,betacode:TOU\S,TOU\S
υἱοὺς,13,strong:G5207,G5207,packard:N2-APM,N2-APM,Noun,,,,,Plural,Accusative,Masculine,betacode:UI(OU\S,UI(OU\S
Ισραηλ,13,strong:G2474,G2474,packard:N-GSM,N-GSM,Noun,,,,,Singular,Genitive,Masculine,betacode:*ISRAHL,*ISRAHL
βίᾳ,13,strong:G970,G970,packard:N1A-DSF,N1A-DSF,Noun,,,,,Singular,Dative,Feminine,betacode:BI/A|,BI/A|
καὶ,14,strong:G2532,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\
κατωδύνων,14,,,packard:V1I-IAI3P,V1I-IAI3P,Verb,Imperfect,Active,Indicative,3,Plural,,,betacode:KATWDU/NWN,KATWDU/NWN
αὐτῶν,14,strong:G846,G846,packard:RD-GPM,RD-GPM,Demonstrative Pronoun,,,,,Plural,Genitive,Masculine,betacode:AU)TW=N,AU)TW=N
τὴν,14,strong:G3588,G3588,packard:RA-ASF,RA-ASF,Article,,,,,Singular,Accusative,Feminine,betacode:TH\N,TH\N
