key,word,verse,word_num,lemma,root,strongs,morph,morphology,Part of Speech,Tense,Voice,Mood,Person,Number,Case,Gender,xlit,betacode
LXX-Judg-005-002-008,λαὸν,2,8,strong:G2992,λαός,G2992,packard:N2-ASM,N2-ASM,Noun,,,,,Singular,Accusative,Masculine,betacode:LAO\N,LAO\N
LXX-Judg-005-002-009,εὐλογεῖτε,2,9,strong:G2127,εὐλογέω,G2127,packard:V2-PAD2P,V2-PAD2P,Verb,Present,Active,Imperative,2,Plural,,,betacode:EU)LOGEI=TE,EU)LOGEI=TE
LXX-Judg-005-002-010,κύριον,2,10,strong:G2962,κύριος,G2962,packard:N2-ASM,N2-ASM,Noun,,,,,Singular,Accusative,Masculine,betacode:KU/RION,KU/RION
LXX-Judg-005-002-011,ἐν,2,11,strong:G1722,ἐν,G1722,packard:P,P,Preposition,,,,,,,,betacode:E)N,E)N
LXX-Judg-005-002-012,τῷ,2,12,strong:G3588,ὁ,G3588,packard:RA-DSM,RA-DSM,Article,,,,,Singular,Dative,Masculine,betacode:TW=|,TW=|
LXX-Judg-005-002-013,ἄρξασθαι,2,13,strong:G757,,G757,packard:VA-AMN,VA-AMN,Verb,Aorist,Middle,Infinitive,,,,,betacode:A)/RCASQAI,A)/RCASQAI
LXX-Judg-005-002-014,ἀρχηγοὺς,2,14,strong:G747,,G747,packard:N2-APM,N2-APM,Noun,,,,,Plural,Accusative,Masculine,betacode:A)RXHGOU\S,A)RXHGOU\S
LXX-Judg-005-002-015,ἐν,2,15,strong:G1722,ἐν,G1722,packard:P,P,Preposition,,,,,,,,betacode:E)N,E)N
LXX-Judg-005-002-016,Ισραηλ,2,16,strong:G2474,Ἰσραήλ,G2474,packard:N-DSM,N-DSM,Noun,,,,,Singular,Dative,Masculine,betacode:*ISRAHL,*ISRAHL
LXX-Judg-005-002-017,ἐν,2,17,strong:G1722,ἐν,G1722,packard:P,P,Preposition,,,,,,,,betacode:E)N,E)N
LXX-Judg-005-002-018,προαιρέσει,2,18,,,,packard:N3I-DSF,N3I-DSF,Noun,,,,,Singular,Dative,Feminine,betacode:PROAIRE/SEI,PROAIRE/SEI
LXX-Judg-005-002-019,λαοῦ,2,19,strong:G2992,λαός,G2992,packard:N2-GSM,N2-GSM,Noun,,,,,Singular,Genitive,Masculine,betacode:LAOU=,LAOU=
LXX-Judg-005-002-020,εὐλογεῖτε,2,20,strong:G2127,εὐλογέω,G2127,packard:V2-PAD2P,V2-PAD2P,Verb,Present,Active,Imperative,2,Plural,,,betacode:EU)LOGEI=TE,EU)LOGEI=TE
LXX-Judg-005-002-021,τὸν,2,21,strong:G3588,ὁ,G3588,packard:RA-ASM,RA-ASM,Article,,,,,Singular,Accusative,Masculine,betacode:TO\N,TO\N
LXX-Judg-005-002-022,κύριον,2,22,strong:G2962,κύριος,G2962,packard:N2-ASM,N2-ASM,Noun,,,,,Singular,Accusative,Masculine,betacode:KU/RION,KU/RION
3,3,3,,,,,,,,,,,,,,,,
LXX-Judg-005-003-001,ἀκούσατε,3,1,strong:G191,,G191,packard:VA-AAD2P,VA-AAD2P,Verb,Aorist,Active,Imperative,2,Plural,,,betacode:A)KOU/SATE,A)KOU/SATE
LXX-Judg-005-003-002,βασιλεῖς,3,2,strong:G935,,G935,packard:N3V-VPM,N3V-VPM,Noun,,,,,Plural,Vocative,Masculine,betacode:BASILEI=S,BASILEI=S
LXX-Judg-005-003-003,καὶ,3,3,strong:G2532,καί,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\
LXX-Judg-005-003-004,ἐνωτίσασθε,3,4,,,,packard:V1-PMD2P,V1-PMD2P,Verb,Present,Middle,Imperative,2,Plural,,,betacode:E)NWTI/SASQE,E)NWTI/SASQE
LXX-Judg-005-003-005,σατράπαι,3,5,,,,packard:N1M-VPM,N1M-VPM,Noun,,,,,Plural,Vocative,Masculine,betacode:SATRA/PAI,SATRA/PAI
LXX-Judg-005-003-006,ἐγώ,3,6,strong:G1473,ἐγώ,G1473,packard:RP-NS,RP-NS,Personal/Possessive Pronoun,,,,,Singular,Nominative,,betacode:E)GW/,E)GW/
LXX-Judg-005-003-007,εἰμι,3,7,strong:G1510,εἰμί,G1510,packard:V9-PAI1S,V9-PAI1S,Verb,Present,Active,Indicative,1,Singular,,,betacode:EI)MI,EI)MI
LXX-Judg-005-003-008,τῷ,3,8,strong:G3588,ὁ,G3588,packard:RA-DSM,RA-DSM,Article,,,,,Singular,Dative,Masculine,betacode:TW=|,TW=|
LXX-Judg-005-003-009,κυρίῳ,3,9,strong:G2962,κύριος,G2962,packard:N2-DSM,N2-DSM,Noun,,,,,Singular,Dative,Masculine,betacode:KURI/W|,KURI/W|
LXX-Judg-005-003-010,ἐγώ,3,10,strong:G1473,ἐγώ,G1473,packard:RP-NS,RP-NS,Personal/Possessive Pronoun,,,,,Singular,Nominative,,betacode:E)GW/,E)GW/
LXX-Judg-005-003-011,εἰμι,3,11,strong:G1510,εἰμί,G1510,packard:V9-PAI1S,V9-PAI1S,Verb,Present,Active,Indicative,1,Singular,,,betacode:EI)MI,EI)MI
LXX-Judg-005-003-012,ᾄσομαι,3,12,strong:G103,,G103,packard:VF-FMI1S,VF-FMI1S,Verb,Future,Middle,Indicative,1,Singular,,,betacode:A)/|SOMAI,A)/|SOMAI
LXX-Judg-005-003-013,ψαλῶ,3,13,strong:G5567,ψάλλω,G5567,packard:VF-FAI1S,VF-FAI1S,Verb,Future,Active,Indicative,1,Singular,,,betacode:YALW=,YALW=
LXX-Judg-005-003-014,τῷ,3,14,strong:G3588,ὁ,G3588,packard:RA-DSM,RA-DSM,Article,,,,,Singular,Dative,Masculine,betacode:TW=|,TW=|
LXX-Judg-005-003-015,κυρίῳ,3,15,strong:G2962,κύριος,G2962,packard:N2-DSM,N2-DSM,Noun,,,,,Singular,Dative,Masculine,betacode:KURI/W|,KURI/W|
LXX-Judg-005-003-016,τῷ,3,16,strong:G3588,ὁ,G3588,packard:RA-DSM,RA-DSM,Article,,,,,Singular,Dative,Masculine,betacode:TW=|,TW=|
LXX-Judg-005-003-017,θεῷ,3,17,strong:G2316,θεός,G2316,packard:N2-DSM,N2-DSM,Noun,,,,,Singular,Dative,Masculine,betacode:QEW=|,QEW=|
LXX-Judg-005-003-018,Ισραηλ,3,18,strong:G2474,Ἰσραήλ,G2474,packard:N-GSM,N-GSM,Noun,,,,,Singular,Genitive,Masculine,betacode:*ISRAHL,*ISRAHL
LXX-Judg-005-003-019,ἀκούσατε,3,19,strong:G191,,G191,packard:VA-AAD2P,VA-AAD2P,Verb,Aorist,Active,Imperative,2,Plural,,,betacode:A)KOU/SATE,A)KOU/SATE
LXX-Judg-005-003-020,βασιλεῖς,3,20,strong:G935,,G935,packard:N3V-VPM,N3V-VPM,Noun,,,,,Plural,Vocative,Masculine,betacode:BASILEI=S,BASILEI=S
LXX-Judg-005-003-021,ἐνωτίζεσθε,3,21,,,,packard:V1-PMD2P,V1-PMD2P,Verb,Present,Middle,Imperative,2,Plural,,,betacode:E)NWTI/ZESQE,E)NWTI/ZESQE
LXX-Judg-005-003-022,σατράπαι,3,22,,,,packard:N1M-VPM,N1M-VPM,Noun,,,,,Plural,Vocative,Masculine,betacode:SATRA/PAI,SATRA/PAI
LXX-Judg-005-003-023,δυνατοί,3,23,strong:G1415,δυνατός,G1415,packard:A1-VPM,A1-VPM,Adjective,,,,,Plural,Vocative,Masculine,betacode:DUNATOI/,DUNATOI/
LXX-Judg-005-003-024,ἐγὼ,3,24,strong:G1473,ἐγώ,G1473,packard:RP-NS,RP-NS,Personal/Possessive Pronoun,,,,,Singular,Nominative,,betacode:E)GW\,E)GW\
LXX-Judg-005-003-025,τῷ,3,25,strong:G3588,ὁ,G3588,packard:RA-DSM,RA-DSM,Article,,,,,Singular,Dative,Masculine,betacode:TW=|,TW=|
LXX-Judg-005-003-026,κυρίῳ,3,26,strong:G2962,κύριος,G2962,packard:N2-DSM,N2-DSM,Noun,,,,,Singular,Dative,Masculine,betacode:KURI/W|,KURI/W|
LXX-Judg-005-003-027,ᾄσομαι,3,27,strong:G103,,G103,packard:VF-FMI1S,VF-FMI1S,Verb,Future,Middle,Indicative,1,Singular,,,betacode:A)/|SOMAI,A)/|SOMAI
LXX-Judg-005-003-028,ψαλῶ,3,28,strong:G5567,ψάλλω,G5567,packard:VF-FAI1S,VF-FAI1S,Verb,Future,Active,Indicative,1,Singular,,,betacode:YALW=,YALW=
LXX-Judg-005-003-029,τῷ,3,29,strong:G3588,ὁ,G3588,packard:RA-DSM,RA-DSM,Article,,,,,Singular,Dative,Masculine,betacode:TW=|,TW=|
LXX-Judg-005-003-030,θεῷ,3,30,strong:G2316,θεός,G2316,packard:N2-DSM,N2-DSM,Noun,,,,,Singular,Dative,Masculine,betacode:QEW=|,QEW=|
LXX-Judg-005-003-031,Ισραηλ,3,31,strong:G2474,Ἰσραήλ,G2474,packard:N-GSM,N-GSM,Noun,,,,,Singular,Genitive,Masculine,betacode:*ISRAHL,*ISRAHL
4,4,4,,,,,,,,,,,,,,,,
LXX-Judg-005-004-001,κύριε,4,1,strong:G2962,κύριος,G2962,packard:N2-VSM,N2-VSM,Noun,,,,,Singular,Vocative,Masculine,betacode:KU/RIE,KU/RIE
LXX-Judg-005-004-002,ἐν,4,2,strong:G1722,ἐν,G1722,packard:P,P,Preposition,,,,,,,,betacode:E)N,E)N
LXX-Judg-005-004-003,τῇ,4,3,strong:G3588,ὁ,G3588,packard:RA-DSF,RA-DSF,Article,,,,,Singular,Dative,Feminine,betacode:TH=|,TH=|
LXX-Judg-005-004-004,ἐξόδῳ,4,4,strong:G1841,ἔξοδος,G1841,packard:N2-DSF,N2-DSF,Noun,,,,,Singular,Dative,Feminine,betacode:E)CO/DW|,E)CO/DW|
LXX-Judg-005-004-005,σου,4,5,strong:G4675,σοῦ,G4675,packard:RP-GS,RP-GS,Personal/Possessive Pronoun,,,,,Singular,Genitive,,betacode:SOU,SOU
LXX-Judg-005-004-006,ἐν,4,6,strong:G1722,ἐν,G1722,packard:P,P,Preposition,,,,,,,,betacode:E)N,E)N
LXX-Judg-005-004-007,Σηιρ,4,7,,,,packard:N-DS,N-DS,Noun,,,,,Singular,Dative,,betacode:*SHIR,*SHIR
LXX-Judg-005-004-008,ἐν,4,8,strong:G1722,ἐν,G1722,packard:P,P,Preposition,,,,,,,,betacode:E)N,E)N
LXX-Judg-005-004-009,τῷ,4,9,strong:G3588,ὁ,G3588,packard:RA-DSN,RA-DSN,Article,,,,,Singular,Dative,Neuter,betacode:TW=|,TW=|
LXX-Judg-005-004-010,ἀπαίρειν,4,10,,,,packard:V1-PAN,V1-PAN,Verb,Present,Active,Infinitive,,,,,betacode:A)PAI/REIN,A)PAI/REIN
LXX-Judg-005-004-011,σε,4,11,strong:G4771,σύ,G4771,packard:RP-AS,RP-AS,Personal/Possessive Pronoun,,,,,Singular,Accusative,,betacode:SE,SE
LXX-Judg-005-004-012,ἐξ,4,12,strong:G1537,ἐκ,G1537,packard:P,P,Preposition,,,,,,,,betacode:E)C,E)C
LXX-Judg-005-004-013,ἀγροῦ,4,13,strong:G68,,G68,packard:N2-GSM,N2-GSM,Noun,,,,,Singular,Genitive,Masculine,betacode:A)GROU=,A)GROU=
LXX-Judg-005-004-014,Εδωμ,4,14,,,,packard:N-GS,N-GS,Noun,,,,,Singular,Genitive,,betacode:*EDWM,*EDWM
LXX-Judg-005-004-015,γῆ,4,15,strong:G1093,γῆ,G1093,packard:N1-NSF,N1-NSF,Noun,,,,,Singular,Nominative,Feminine,betacode:GH=,GH=
LXX-Judg-005-004-016,ἐσείσθη,4,16,strong:G4579,σείω,G4579,packard:VCI-API3S,VCI-API3S,Verb,Aorist,Passive,Indicative,3,Singular,,,betacode:E)SEI/SQH,E)SEI/SQH
LXX-Judg-005-004-017,καὶ,4,17,strong:G2532,καί,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\
LXX-Judg-005-004-018,ὁ,4,18,strong:G3588,ὁ,G3588,packard:RA-NSM,RA-NSM,Article,,,,,Singular,Nominative,Masculine,betacode:O(,O(
LXX-Judg-005-004-019,οὐρανὸς,4,19,strong:G3772,οὐρανός,G3772,packard:N2-NSM,N2-NSM,Noun,,,,,Singular,Nominative,Masculine,betacode:OU)RANO\S,OU)RANO\S
LXX-Judg-005-004-020,ἔσταξεν,4,20,,,,packard:VAI-AAI3S,VAI-AAI3S,Verb,Aorist,Active,Indicative,3,Singular,,,betacode:E)/STACEN,E)/STACEN
LXX-Judg-005-004-021,δρόσους,4,21,,,,packard:N2-APF,N2-APF,Noun,,,,,Plural,Accusative,Feminine,betacode:DRO/SOUS,DRO/SOUS
LXX-Judg-005-004-022,καὶ,4,22,strong:G2532,καί,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\
LXX-Judg-005-004-023,αἱ,4,23,strong:G3588,ὁ,G3588,packard:RA-NPF,RA-NPF,Article,,,,,Plural,Nominative,Feminine,betacode:AI(,AI(
LXX-Judg-005-004-024,νεφέλαι,4,24,strong:G3507,νεφέλη,G3507,packard:N1-NPF,N1-NPF,Noun,,,,,Plural,Nominative,Feminine,betacode:NEFE/LAI,NEFE/LAI
LXX-Judg-005-004-025,ἔσταξαν,4,25,,,,packard:VAI-AAI3P,VAI-AAI3P,Verb,Aorist,Active,Indicative,3,Plural,,,betacode:E)/STACAN,E)/STACAN
LXX-Judg-005-004-026,ὕδωρ,4,26,strong:G5204,ὕδωρ,G5204,packard:N3-ASN,N3-ASN,Noun,,,,,Singular,Accusative,Neuter,betacode:U(/DWR,U(/DWR
LXX-Judg-005-004-027,κύριε,4,27,strong:G2962,κύριος,G2962,packard:N2-VSM,N2-VSM,Noun,,,,,Singular,Vocative,Masculine,betacode:KU/RIE,KU/RIE
LXX-Judg-005-004-028,ἐν,4,28,strong:G1722,ἐν,G1722,packard:P,P,Preposition,,,,,,,,betacode:E)N,E)N
LXX-Judg-005-004-029,τῇ,4,29,strong:G3588,ὁ,G3588,packard:RA-DSF,RA-DSF,Article,,,,,Singular,Dative,Feminine,betacode:TH=|,TH=|
LXX-Judg-005-004-030,ἐξόδῳ,4,30,strong:G1841,ἔξοδος,G1841,packard:N2-DSF,N2-DSF,Noun,,,,,Singular,Dative,Feminine,betacode:E)CO/DW|,E)CO/DW|
LXX-Judg-005-004-031,σου,4,31,strong:G4675,σοῦ,G4675,packard:RP-GS,RP-GS,Personal/Possessive Pronoun,,,,,Singular,Genitive,,betacode:SOU,SOU
LXX-Judg-005-004-032,ἐκ,4,32,strong:G1537,ἐκ,G1537,packard:P,P,Preposition,,,,,,,,betacode:E)K,E)K
LXX-Judg-005-004-033,Σηιρ,4,33,,,,packard:N-GS,N-GS,Noun,,,,,Singular,Genitive,,betacode:*SHIR,*SHIR
LXX-Judg-005-004-034,ἐν,4,34,strong:G1722,ἐν,G1722,packard:P,P,Preposition,,,,,,,,betacode:E)N,E)N
LXX-Judg-005-004-035,τῷ,4,35,strong:G3588,ὁ,G3588,packard:RA-DSN,RA-DSN,Article,,,,,Singular,Dative,Neuter,betacode:TW=|,TW=|
LXX-Judg-005-004-036,ἀπαίρειν,4,36,,,,packard:V1-PAN,V1-PAN,Verb,Present,Active,Infinitive,,,,,betacode:A)PAI/REIN,A)PAI/REIN
LXX-Judg-005-004-037,σε,4,37,strong:G4771,σύ,G4771,packard:RP-AS,RP-AS,Personal/Possessive Pronoun,,,,,Singular,Accusative,,betacode:SE,SE
LXX-Judg-005-004-038,ἐξ,4,38,strong:G1537,ἐκ,G1537,packard:P,P,Preposition,,,,,,,,betacode:E)C,E)C
LXX-Judg-005-004-039,ἀγροῦ,4,39,strong:G68,,G68,packard:N2-GSM,N2-GSM,Noun,,,,,Singular,Genitive,Masculine,betacode:A)GROU=,A)GROU=
LXX-Judg-005-004-040,Εδωμ,4,40,,,,packard:N-GS,N-GS,Noun,,,,,Singular,Genitive,,betacode:*EDWM,*EDWM
LXX-Judg-005-004-041,γῆ,4,41,strong:G1093,γῆ,G1093,packard:N1-NSF,N1-NSF,Noun,,,,,Singular,Nominative,Feminine,betacode:GH=,GH=
LXX-Judg-005-004-042,ἐσείσθη,4,42,strong:G4579,σείω,G4579,packard:VCI-API3S,VCI-API3S,Verb,Aorist,Passive,Indicative,3,Singular,,,betacode:E)SEI/SQH,E)SEI/SQH
LXX-Judg-005-004-043,καὶ,4,43,strong:G2532,καί,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\
LXX-Judg-005-004-044,ὁ,4,44,strong:G3588,ὁ,G3588,packard:RA-NSM,RA-NSM,Article,,,,,Singular,Nominative,Masculine,betacode:O(,O(
LXX-Judg-005-004-045,οὐρανὸς,4,45,strong:G3772,οὐρανός,G3772,packard:N2-NSM,N2-NSM,Noun,,,,,Singular,Nominative,Masculine,betacode:OU)RANO\S,OU)RANO\S
LXX-Judg-005-004-046,ἐξεστάθη,4,46,,,,packard:VCI-API3S,VCI-API3S,Verb,Aorist,Passive,Indicative,3,Singular,,,betacode:E)CESTA/QH,E)CESTA/QH
LXX-Judg-005-004-047,καὶ,4,47,strong:G2532,καί,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\
LXX-Judg-005-004-048,αἱ,4,48,strong:G3588,ὁ,G3588,packard:RA-NPF,RA-NPF,Article,,,,,Plural,Nominative,Feminine,betacode:AI(,AI(
LXX-Judg-005-004-049,νεφέλαι,4,49,strong:G3507,νεφέλη,G3507,packard:N1-NPF,N1-NPF,Noun,,,,,Plural,Nominative,Feminine,betacode:NEFE/LAI,NEFE/LAI
LXX-Judg-005-004-050,ἔσταξαν,4,50,,,,packard:VAI-AAI3P,VAI-AAI3P,Verb,Aorist,Active,Indicative,3,Plural,,,betacode:E)/STACAN,E)/STACAN
LXX-Judg-005-004-051,ὕδωρ,4,51,strong:G5204,ὕδωρ,G5204,packard:N3-ASN,N3-ASN,Noun,,,,,Singular,Accusative,Neuter,betacode:U(/DWR,U(/DWR
5,5,5,,,,,,,,,,,,,,,,
LXX-Judg-005-005-001,ὄρη,5,1,strong:G3735,ὄρος,G3735,packard:N3E-NPN,N3E-NPN,Noun,,,,,Plural,Nominative,Neuter,betacode:O)/RH,O)/RH
LXX-Judg-005-005-002,ἐσαλεύθησαν,5,2,strong:G4531,σαλεύω,G4531,packard:VCI-API3P,VCI-API3P,Verb,Aorist,Passive,Indicative,3,Plural,,,betacode:E)SALEU/QHSAN,E)SALEU/QHSAN
LXX-Judg-005-005-003,ἀπὸ,5,3,strong:G575,,G575,packard:P,P,Preposition,,,,,,,,betacode:A)PO\,A)PO\
LXX-Judg-005-005-004,προσώπου,5,4,strong:G4383,πρόσωπον,G4383,packard:N2N-GSN,N2N-GSN,Noun,,,,,Singular,Genitive,Neuter,betacode:PROSW/POU,PROSW/POU
LXX-Judg-005-005-005,κυρίου,5,5,strong:G2962,κύριος,G2962,packard:N2-GSM,N2-GSM,Noun,,,,,Singular,Genitive,Masculine,betacode:KURI/OU,KURI/OU
LXX-Judg-005-005-006,Ελωι,5,6,,,,packard:N-GSM,N-GSM,Noun,,,,,Singular,Genitive,Masculine,betacode:*ELWI,*ELWI
LXX-Judg-005-005-007,τοῦτο,5,7,strong:G3778,οὗτος,G3778,packard:RD-ASN,RD-ASN,Demonstrative Pronoun,,,,,Singular,Accusative,Neuter,betacode:TOU=TO,TOU=TO
LXX-Judg-005-005-008,Σινα,5,8,,,,packard:N-NS,N-NS,Noun,,,,,Singular,Nominative,,betacode:*SINA,*SINA
LXX-Judg-005-005-009,ἀπὸ,5,9,strong:G575,,G575,packard:P,P,Preposition,,,,,,,,betacode:A)PO\,A)PO\
LXX-Judg-005-005-010,προσώπου,5,10,strong:G4383,πρόσωπον,G4383,packard:N2N-GSN,N2N-GSN,Noun,,,,,Singular,Genitive,Neuter,betacode:PROSW/POU,PROSW/POU
LXX-Judg-005-005-011,κυρίου,5,11,strong:G2962,κύριος,G2962,packard:N2-GSM,N2-GSM,Noun,,,,,Singular,Genitive,Masculine,betacode:KURI/OU,KURI/OU
LXX-Judg-005-005-012,θεοῦ,5,12,strong:G2316,θεός,G2316,packard:N2-GSM,N2-GSM,Noun,,,,,Singular,Genitive,Masculine,betacode:QEOU=,QEOU=
LXX-Judg-005-005-013,Ισραηλ,5,13,strong:G2474,Ἰσραήλ,G2474,packard:N-GSM,N-GSM,Noun,,,,,Singular,Genitive,Masculine,betacode:*ISRAHL,*ISRAHL
LXX-Judg-005-005-014,ὄρη,5,14,strong:G3735,ὄρος,G3735,packard:N3E-NPN,N3E-NPN,Noun,,,,,Plural,Nominative,Neuter,betacode:O)/RH,O)/RH
LXX-Judg-005-005-015,ἐσαλεύθησαν,5,15,strong:G4531,σαλεύω,G4531,packard:VCI-API3P,VCI-API3P,Verb,Aorist,Passive,Indicative,3,Plural,,,betacode:E)SALEU/QHSAN,E)SALEU/QHSAN
LXX-Judg-005-005-016,ἀπὸ,5,16,strong:G575,,G575,packard:P,P,Preposition,,,,,,,,betacode:A)PO\,A)PO\
LXX-Judg-005-005-017,προσώπου,5,17,strong:G4383,πρόσωπον,G4383,packard:N2N-GSN,N2N-GSN,Noun,,,,,Singular,Genitive,Neuter,betacode:PROSW/POU,PROSW/POU
LXX-Judg-005-005-018,κυρίου,5,18,strong:G2962,κύριος,G2962,packard:N2-GSM,N2-GSM,Noun,,,,,Singular,Genitive,Masculine,betacode:KURI/OU,KURI/OU
LXX-Judg-005-005-019,τοῦτο,5,19,strong:G3778,οὗτος,G3778,packard:RD-NSN,RD-NSN,Demonstrative Pronoun,,,,,Singular,Nominative,Neuter,betacode:TOU=TO,TOU=TO
